x, y, z, intensity, ring
4.94809,-12.2224,0.230162,41,8
0.19882,-0.491357,-0.122373,15,1
5.0344,-12.4481,0.703709,29,9
0.218617,-0.540552,-0.113341,16,2
4.75638,-11.7665,1.11036,23,10
0.255296,-0.63188,-0.10794,51,3
5.16747,-12.7964,1.69447,41,11
2.37087,-5.87401,-0.77777,51,4
5.18577,-12.8546,2.1954,26,12
2.30849,-5.72233,-0.539843,47,5
4.73177,-11.7351,2.45953,21,13
2.6451,-6.56333,-0.370853,42,6
4.73568,-11.7567,2.92616,51,14
2.46754,-6.12892,-0.115326,94,7
4.73961,-11.7783,3.40192,25,15
4.68371,-11.6864,0.219761,25,8
0.197104,-0.492048,-0.122373,15,1
6.04137,-15.0892,0.85182,20,9
0.231323,-0.577764,-0.120973,15,2
4.8315,-12.0735,1.13773,54,10
0.251622,-0.629099,-0.107314,39,3
5.85597,-14.6484,1.93699,16,11
2.45273,-6.13848,-0.81165,29,4
2.31067,-5.78586,-0.545072,32,5
4.84508,-12.1381,2.54043,20,13
2.6503,-6.64302,-0.37483,28,6
4.69317,-11.7695,2.92526,48,14
2.42614,-6.08734,-0.114383,70,7
4.68274,-11.7553,3.39053,20,15
4.81987,-12.1488,0.228138,36,8
0.195385,-0.492733,-0.122373,15,1
4.34321,-10.9585,0.617774,43,9
0.214838,-0.542065,-0.113341,16,2
4.68293,-11.8217,1.11246,26,10
0.256696,-0.648341,-0.110443,24,3
4.9816,-12.5885,1.6623,41,11
2.37726,-6.0104,-0.793613,33,4
2.2975,-5.81468,-0.546989,8,5
2.54272,-6.4386,-0.362793,33,6
4.63918,-11.7532,2.91717,48,14
2.38726,-6.05113,-0.113545,63,7
4.692,-11.8991,3.42728,32,15
4.62613,-11.7803,0.220913,43,8
0.193664,-0.493412,-0.122373,15,1
4.2867,-10.9271,0.615157,53,9
0.21285,-0.542849,-0.113341,16,2
4.64029,-11.8406,1.11263,26,10
0.25648,-0.654795,-0.111381,24,3
5.75863,-14.7018,1.9387,4,11
2.49087,-6.36248,-0.838949,50,4
2.32146,-5.93585,-0.557622,13,5
4.62015,-11.8196,2.46678,23,13
2.51039,-6.42555,-0.361537,43,6
4.58686,-11.7465,2.91132,53,14
2.33194,-5.97187,-0.111905,100,7
4.59073,-11.7625,3.38328,31,15
4.68285,-12.0544,0.225729,31,8
0.191854,-0.494118,-0.122373,15,1
4.25359,-10.9551,0.61589,51,9
0.236523,-0.609478,-0.127079,14,2
4.61334,-11.8939,1.11612,38,10
0.253478,-0.653844,-0.111068,24,3
6.00737,-15.504,2.04156,8,11
2.32846,-6.01245,-0.791663,43,4
4.71699,-12.1927,2.54119,39,13
2.48578,-6.42869,-0.361223,37,6
4.52827,-11.717,2.90007,57,14
2.28945,-5.92402,-0.110858,73,7
4.55103,-11.782,3.38432,31,15
4.53732,-11.7955,0.220598,11,8
0.190215,-0.494752,-0.122373,15,1
2.8126,-7.31945,0.410942,26,9
4.68247,-12.1982,1.14313,19,10
0.239982,-0.625175,-0.106063,26,3
9.94502,-25.9212,3.40893,42,11
2.30993,-6.02385,-0.792151,48,4
4.72452,-12.3271,2.0909,40,12
2.36049,-6.16215,-0.57732,58,5
4.66038,-12.1661,2.53242,35,13
2.46374,-6.43503,-0.361118,54,6
4.55276,-11.8976,2.94101,53,14
2.25733,-5.90209,-0.110299,100,7
4.52367,-11.8339,3.39467,31,15
2.98295,-7.83617,0.146356,35,8
2.30857,-6.07097,0.340393,41,9
0.207248,-0.545012,-0.113341,16,2
4.64695,-12.2267,1.14435,9,10
0.24341,-0.640782,-0.108566,25,3
4.45305,-11.7289,1.54043,21,11
2.29382,-6.04487,-0.793857,37,4
4.70668,-12.41,2.10217,43,12
2.36266,-6.22956,-0.582898,50,5
4.58518,-12.096,2.51448,50,13
2.48159,-6.55005,-0.367084,49,6
4.50775,-11.9043,2.93876,40,14
2.23247,-5.89871,-0.11009,93,7
4.44953,-11.7629,3.36982,31,15
2.91822,-7.74736,0.144506,51,8
2.31269,-6.14628,0.344161,31,9
0.205345,-0.545732,-0.113341,16,2
4.64071,-12.3399,1.15342,30,10
0.243952,-0.649024,-0.109817,24,3
2.35544,-6.26986,0.822374,2,11
2.21548,-5.90045,-0.77387,36,4
9.71186,-25.8791,4.37798,24,12
2.3675,-6.30865,-0.589521,37,5
4.5643,-12.1689,2.52631,15,13
2.41595,-6.44459,-0.360699,60,6
4.49557,-11.9984,2.95811,25,14
2.19153,-5.85216,-0.109078,100,7
4.44569,-11.8779,3.39829,24,15
2.70958,-7.27031,0.135431,82,8
2.28146,-6.12812,0.342696,47,9
0.203438,-0.546446,-0.113341,16,2
4.59691,-12.3541,1.15324,10,10
0.245816,-0.66098,-0.111694,36,3
2.34114,-6.29851,0.825056,42,11
2.161,-5.81696,-0.761927,43,4
9.57059,-25.7758,4.35482,33,12
2.33258,-6.28553,-0.586558,11,5
4.45622,-12.0081,2.48968,37,13
2.3212,-6.25824,-0.349814,13,6
4.47263,-12.0652,2.9707,17,14
2.15372,-5.8129,-0.108205,96,7
4.40621,-11.8988,3.39985,22,15
2.69526,-7.30974,0.135989,81,8
2.26351,-6.14541,0.343219,66,9
0.201434,-0.547188,-0.113341,16,2
4.5633,-12.4027,1.15621,30,10
0.241347,-0.656315,-0.110756,49,3
2.29996,-6.25448,0.818231,38,11
1.94688,-5.29718,-0.692949,25,4
9.57182,-26.0576,4.39675,3,12
4.46088,-12.157,2.51715,42,13
2.27899,-6.2142,-0.346883,20,6
4.40491,-12.0175,2.95496,74,14
2.13204,-5.81663,-0.108135,86,7
4.35601,-11.8905,3.39312,32,15
2.6616,-7.30079,0.13564,72,8
0.181464,-0.498028,-0.122373,15,1
2.24234,-6.15742,0.343429,65,9
0.199523,-0.547887,-0.113341,16,2
2.34346,-6.43861,0.599457,9,10
0.235678,-0.647871,-0.109191,50,3
2.2777,-6.26473,0.818475,61,11
2.18644,-6.01698,-0.786057,64,4
2.66891,-7.35272,-0.684347,16,5
4.46597,-12.3036,2.54425,38,13
2.25525,-6.21648,-0.346569,27,6
4.37887,-12.0767,2.96575,44,14
2.13046,-5.87892,-0.109147,59,7
4.46174,-12.3187,3.51062,22,15
2.59811,-7.20469,0.133685,72,8
0.179725,-0.498658,-0.122373,15,1
2.22421,-6.17461,0.343952,42,9
0.197514,-0.548615,-0.113341,16,2
2.30636,-6.40966,0.595971,35,10
0.235976,-0.656166,-0.110443,49,3
2.26052,-6.28572,0.820181,54,11
1.96734,-5.47349,-0.714154,14,4
5.28727,-14.7182,2.47698,12,12
2.49309,-6.94383,-0.645475,27,5
4.35653,-12.1406,2.50723,43,13
2.22773,-6.21155,-0.345836,37,6
4.52461,-12.6229,3.09578,46,14
2.13287,-5.95033,-0.110334,44,7
4.46237,-12.4561,3.5453,8,15
2.29505,-6.43812,0.119305,27,8
2.32598,-6.52851,0.363212,55,9
2.30134,-6.46648,0.600503,52,10
0.23567,-0.662569,-0.111381,48,3
2.25076,-6.33137,0.825056,19,11
2.61418,-7.36179,-0.683475,33,5
2.21137,-6.23434,-0.346673,33,6
4.06119,-11.4557,2.80604,27,14
2.19427,-6.18956,-0.114627,58,7
4.38079,-12.3641,3.51476,26,15
2.22021,-6.30112,0.350128,51,9
0.193679,-0.54998,-0.113341,16,2
2.24965,-6.39178,0.592833,18,10
0.230848,-0.655894,-0.11013,49,3
4.00829,-11.3949,1.48315,28,11
1.86719,-5.31106,-0.691243,48,4
5.19421,-14.7827,2.48168,16,12
2.5033,-7.12837,-0.660989,36,5
2.24559,-6.39806,-0.355361,30,6
4.01479,-11.4452,2.80019,23,14
2.26329,-6.45571,-0.119409,68,7
4.32292,-12.3374,3.50286,21,15
2.17411,-6.23269,0.115221,46,8
0.174493,-0.500513,-0.122373,15,1
2.15877,-6.19567,0.343847,48,9
0.191854,-0.55062,-0.113341,16,2
2.03318,-5.8385,0.540889,58,10
0.23505,-0.675352,-0.113259,46,3
3.98088,-11.4444,1.48778,21,11
1.9034,-5.47505,-0.711717,41,4
5.15036,-14.8231,2.48543,22,12
2.46134,-7.08393,-0.656108,35,5
4.15207,-11.9567,2.46029,35,13
2.23633,-6.4436,-0.357455,43,6
4.41355,-12.724,3.10927,21,14
2.11957,-6.11404,-0.112952,92,7
8.93785,-25.7964,7.31526,28,15
2.21102,-6.41037,0.118362,100,8
2.17227,-6.30514,0.3495,78,9
0.189931,-0.551286,-0.113341,16,2
2.01927,-5.8644,0.542632,58,10
0.220478,-0.640679,-0.107314,39,3
2.08861,-6.07264,0.788495,35,11
1.88621,-5.48729,-0.712448,24,4
2.44825,-7.1264,-0.659246,40,5
4.18872,-12.1995,2.50723,36,13
2.17428,-6.33613,-0.35107,27,6
3.94996,-11.5172,2.81099,27,14
2.10923,-6.15356,-0.113545,86,7
4.23042,-12.349,3.49768,6,15
2.18605,-6.41048,0.118223,55,8
